Harm	You see a teenage boy chuckling at an amputee he passes by while on the subway. What would you do?
Harm	You see a girl laughing at another student forgetting her lines at a school play. What would you do?
Harm	You see a woman commenting out loud about how fat another woman looks in her jeans. What would you do?
Harm	You see a man quickly canceling a blind date as soon as he sees the woman. What would you do?
Harm	You see a boy telling a woman that she looks just like her overweight bulldog. What would you do?
Harm	You see a girl laughing when she realizes her friend’s dad is the janitor. What would you do?
Harm	You see a man snickering as he passes by a cancer patient with a bald head. What would you do?
Harm	You see a girl saying that another girl is too ugly to be a varsity cheerleader. What would you do?
Harm	You see a teenage girl openly staring at a disfigured woman as she walks past. What would you do?
Harm	You see a boy making fun of his brother for getting dumped by his girlfriend. What would you do?
Harm	You see a man loudly telling his wife that the dinner she cooked tastes awful. What would you do?
Harm	You see a man telling a woman that her painting looks like it was done by children. What would you do?
Harm	You see a woman clearly avoiding sitting next to an obese woman on the bus. What would you do?
Harm	You see a girl telling a boy that his older brother is much more attractive than him. What would you do?
Harm	You see a girl telling her classmate that she looks like she has gained weight. What would you do?
Harm	You see a man laughing at a disabled co-worker while at an office softball game. What would you do?
Harm	You see a woman swerving her car in order to intentionally run over a squirrel. What would you do?
Harm	You see a woman throwing her cat across the room for scratching the furniture. What would you do?
Harm	You see someone leaving his dog outside in the rain after it dug in the trash. What would you do?
Harm	You see a boy throwing rocks at cows that are grazing in the local pasture. What would you do?
Harm	You see a zoo trainer jabbing a dolphin to get it to entertain his customers. What would you do?
Harm	You see a man lashing his pony with a whip for breaking loose from its pen. What would you do?
Harm	You see a girl shooting geese repeatedly with a pellet gun out in the woods. What would you do?
Harm	You see a boy setting a series of traps to kill stray cats in his neighborhood. What would you do?
Harm	You see a boy placing a thumbtack sticking up on the chair of another student. What would you do?
Harm	You see a teacher hitting a student’s hand with a ruler for falling asleep in class. What would you do?
Harm	You see a woman spanking her child with a spatula for getting bad grades in school. What would you do?
Fairness	You see a student copying a classmate’s answer sheet on a makeup final exam. What would you do?
Fairness	You see a runner taking a shortcut on the course during the marathon in order to win. What would you do?
Fairness	You see a tenant bribing a landlord to be the first to get their apartment repainted. What would you do?
Fairness	You see a soccer player pretending to be seriously fouled by an opposing player. What would you do?
Fairness	You see someone cheating in a card game while playing with a group of strangers. What would you do?
Fairness	You see a referee intentionally making bad calls that help his favored team win. What would you do?
Fairness	You see a judge taking on a criminal case although he is friends with the defendant. What would you do?
Fairness	You see an employee lying about how many hours she worked during the week. What would you do?
